"","No.","Name","Net worth (USD)","Age","Nationality","Source(s) of wealth","Year","Wealth"
"1",1,"Jeff Bezos","$177 billion",57,"United States","Amazon",2021,177
"2",2,"Elon Musk","$151 billion",49,"United States","Tesla, SpaceX",2021,151
"3",3,"Bernard Arnault & family","$150 billion",72,"France","LVMH",2021,150
"4",4,"Bill Gates","$124 billion",65,"United States","Microsoft",2021,124
"5",5,"Mark Zuckerberg","$97 billion",36,"United States","Facebook, Inc.",2021,97
"6",6,"Warren Buffett","$96 billion",90,"United States","Berkshire Hathaway",2021,96
"7",7,"Larry Ellison","$93 billion",76,"United States","Oracle Corporation",2021,93
"8",8,"Larry Page","$91.5 billion",48,"United States","Alphabet Inc.",2021,91
"9",9,"Sergey Brin","$89 billion",47,"United States","Alphabet Inc.",2021,89
"10",10,"Mukesh Ambani","$84.5 billion",63,"India","Reliance Industries",2021,84
"11",1,"Jeff Bezos","$113 billion",56,"United States","Amazon",2020,113
"12",2,"Bill Gates","$98 billion",64,"United States","Microsoft",2020,98
"13",3,"Bernard Arnault & family","$76 billion",71,"France","LVMH",2020,76
"14",4,"Warren Buffett","$67.5 billion",89,"United States","Berkshire Hathaway",2020,67
"15",5,"Larry Ellison","$59 billion",75,"United States","Oracle Corporation",2020,59
"16",6,"Amancio Ortega","$55.1 billion",84,"Spain","Inditex, Zara",2020,55
"17",7,"Mark Zuckerberg","$54.7 billion",35,"United States","Facebook",2020,54
"18",8,"Jim Walton","$54.6 billion",71,"United States","Walmart",2020,54
"19",9,"Alice Walton","$54.4 billion",70,"United States","Walmart",2020,54
"20",10,"S. Robson Walton","$54.1 billion",77,"United States","Walmart",2020,54
"21",1,"Jeff Bezos","$131 billion",55,"United States","Amazon",2019,131
"22",2,"Bill Gates","$96.5 billion",63,"United States","Microsoft",2019,96
"23",3,"Warren Buffett","$82.5 billion",88,"United States","Berkshire Hathaway",2019,82
"24",4,"Bernard Arnault","$76 billion",70,"France","LVMH",2019,76
"25",5,"Carlos Slim","$64 billion",79,"Mexico","América Móvil, Grupo Carso",2019,64
"26",6,"Amancio Ortega","$62.7 billion",82,"Spain","Inditex, Zara",2019,62
"27",7,"Larry Ellison","$62.5 billion",74,"United States","Oracle Corporation",2019,62
"28",8,"Mark Zuckerberg","$62.3 billion",34,"United States","Facebook",2019,62
"29",9,"Michael Bloomberg","$55.5 billion",77,"United States","Bloomberg L.P.",2019,55
"30",10,"Larry Page","$50.8 billion",45,"United States","Alphabet Inc.",2019,50
"31",1,"Jeff Bezos","$112 billion",54,"United States","Amazon",2018,112
"32",2,"Bill Gates","$90 billion",62,"United States","Microsoft",2018,90
"33",3,"Warren Buffett","$84 billion",87,"United States","Berkshire Hathaway",2018,84
"34",4,"Bernard Arnault","$72 billion",69,"France","LVMH",2018,72
"35",5,"Mark Zuckerberg","$71 billion",33,"United States","Facebook",2018,71
"36",6,"Amancio Ortega","$70 billion",81,"Spain","Inditex, Zara",2018,70
"37",7,"Carlos Slim","$67.1 billion",78,"Mexico","América Móvil, Grupo Carso",2018,67
"38",8,"Charles Koch","$60 billion",82,"United States","Koch Industries",2018,60
"39",8,"David Koch","$60 billion",77,"United States","Koch Industries",2018,60
"40",10,"Larry Ellison","$58.5 billion",73,"United States","Oracle Corporation",2018,58
"41",1,"Bill Gates","$86.0 billion",61,"United States","Microsoft",2017,86
"42",2,"Warren Buffett","$75.6 billion",86,"United States","Berkshire Hathaway",2017,75
"43",3,"Jeff Bezos","$72.8 billion",53,"United States","Amazon",2017,72
"44",4,"Amancio Ortega","$71.3 billion",80,"Spain","Inditex, Zara",2017,71
"45",5,"Mark Zuckerberg","$56.0 billion",32,"United States","Facebook",2017,56
"46",6,"Carlos Slim","$54.5 billion",77,"Mexico","América Móvil, Grupo Carso",2017,54
"47",7,"Larry Ellison","$52.2 billion",72,"United States","Oracle Corporation",2017,52
"48",8,"Charles Koch","$48.3 billion",81,"United States","Koch Industries",2017,48
"49",8,"David Koch","$48.3 billion",76,"United States","Koch Industries",2017,48
"50",10,"Michael Bloomberg","$47.5 billion",75,"United States","Bloomberg L.P.",2017,47
"51",1,"Bill Gates","$75.0 billion",60,"United States","Microsoft",2016,75
"52",2,"Amancio Ortega","$67.0 billion",79,"Spain","Inditex",2016,67
"53",3,"Warren Buffett","$60.8 billion",85,"United States","Berkshire Hathaway",2016,60
"54",4,"Carlos Slim","$50.0 billion",76,"Mexico","América Móvil, Grupo Carso",2016,50
"55",5,"Jeff Bezos","$45.2 billion",52,"United States","Amazon",2016,45
"56",6,"Mark Zuckerberg","$44.6 billion",31,"United States","Facebook",2016,44
"57",7,"Larry Ellison","$43.6 billion",71,"United States","Oracle Corporation",2016,43
"58",8,"Michael Bloomberg","$40.0 billion",74,"United States","Bloomberg L.P.",2016,40
"59",9,"Charles Koch","$39.6 billion",80,"United States","Koch Industries",2016,39
"60",9,"David Koch","$39.6 billion",75,"United States","Koch Industries",2016,39
"61",1,"Bill Gates","$79.2 billion",59,"United States","Microsoft",2015,79
"62",2,"Carlos Slim","$77.1 billion",75,"Mexico","América Móvil, Grupo Carso",2015,77
